contact_id,variant,open_rate,click_rate,conversion_rate,unsubscribe_rate,spam_complaint_rate,day_of_week,assignment_date,industry,company_size,region,engagement_tier
C00000000-a62f7e,control,1,0,0,0,0,6,2025-10-12,Technology,Mid-Market,LATAM,Low
C00000001-d9e107,control,0,0,0,0,0,1,2025-10-07,Technology,Mid-Market,North America,Medium
C00000002-f1b52a,control,0,0,0,0,0,6,2025-10-05,Finance,SMB,North America,Medium
C00000003-2517b6,control,0,0,0,0,0,6,2025-10-12,Retail,SMB,North America,Medium
C00000004-d9a826,control,0,0,0,0,0,0,2025-09-29,Technology,Mid-Market,EMEA,High
C00000005-f2293d,control,0,0,0,0,0,2,2025-10-01,Healthcare,Enterprise,North America,Low
C00000006-c8748c,control,0,0,0,0,0,0,2025-09-29,Finance,Mid-Market,North America,High
C00000007-96b461,control,0,0,0,0,0,1,2025-10-07,Retail,Mid-Market,North America,High
C00000008-3572cc,control,0,0,0,0,0,4,2025-10-03,Finance,SMB,APAC,High
C00000009-50f102,control,0,0,0,0,0,3,2025-10-09,Retail,Mid-Market,North America,Medium
C00000010-ccbd4a,control,0,0,0,0,0,0,2025-09-15,Technology,SMB,North America,Medium
C00000011-4bb66f,control,0,0,0,0,0,0,2025-10-06,Retail,SMB,North America,Low
C00000012-b63ad2,control,1,0,0,0,0,2,2025-09-24,Finance,SMB,EMEA,Medium
C00000013-7f5aa9,control,0,0,0,0,0,3,2025-10-02,Technology,SMB,North America,Low
C00000014-f9ac95,control,1,0,0,0,0,3,2025-09-18,Technology,Enterprise,North America,Medium
C00000015-17e528,control,0,0,0,0,0,3,2025-09-18,Technology,SMB,North America,High
C00000016-96cc77,control,0,0,0,0,0,3,2025-09-25,Healthcare,Enterprise,North America,Low
C00000017-57c575,control,0,0,0,0,0,0,2025-10-13,Technology,SMB,LATAM,Medium
C00000018-cead87,control,1,0,0,0,0,1,2025-09-30,Healthcare,SMB,North America,Low
C00000019-cffffe,control,0,0,0,0,0,1,2025-09-23,Manufacturing,SMB,APAC,High
C00000020-f27591,control,0,0,0,0,0,3,2025-10-09,Manufacturing,Mid-Market,EMEA,High
C00000021-7c47ef,control,0,0,0,0,0,2,2025-10-01,Technology,Enterprise,North America,High
C00000022-324579,control,0,0,0,0,0,0,2025-09-29,Retail,SMB,North America,Medium
C00000023-48f5bd,control,1,1,0,0,0,0,2025-10-06,Retail,SMB,EMEA,Low
C00000024-212f49,control,1,0,0,0,0,6,2025-10-12,Manufacturing,SMB,EMEA,Medium
C00000025-4ef8e1,control,1,0,0,0,0,3,2025-10-09,Retail,Enterprise,APAC,Medium
C00000026-d52e99,control,0,0,0,0,0,6,2025-09-28,Healthcare,Mid-Market,North America,Low
C00000027-22469a,control,0,0,0,0,0,1,2025-09-30,Technology,SMB,EMEA,Low
C00000028-4dc52b,control,0,0,0,0,0,1,2025-09-23,Technology,Mid-Market,APAC,Medium
C00000029-552e26,control,0,0,0,0,0,4,2025-09-19,Technology,SMB,APAC,Medium
C00000030-24e3b4,control,0,0,0,0,0,2,2025-09-24,Healthcare,Mid-Market,North America,Low
C00000031-5138fe,control,0,0,0,0,0,3,2025-10-02,Finance,Mid-Market,EMEA,Low
C00000032-c158ce,control,0,0,0,0,0,0,2025-09-22,Healthcare,Enterprise,LATAM,Medium
C00000033-fc918d,control,1,0,0,0,0,3,2025-09-18,Finance,Mid-Market,APAC,High
C00000034-2e508b,control,1,0,0,0,0,6,2025-09-28,Finance,SMB,North America,High
C00000035-30fdd8,control,0,0,0,1,0,2,2025-10-01,Technology,Mid-Market,North America,Low
C00000036-6ba75e,control,0,0,0,0,0,6,2025-10-05,Finance,Mid-Market,EMEA,Medium
C00000037-bd643f,control,0,0,0,0,0,1,2025-09-30,Healthcare,SMB,North America,Medium
C00000038-780101,control,1,0,0,0,0,6,2025-10-12,Finance,SMB,North America,Low
C00000039-e49764,control,0,1,0,0,0,6,2025-09-28,Technology,SMB,EMEA,Medium
C00000040-675696,control,0,0,0,0,0,3,2025-09-18,Technology,Enterprise,North America,Medium
C00000041-7ad38c,control,0,0,0,0,0,5,2025-10-11,Retail,Mid-Market,North America,Medium
C00000042-62c36c,control,0,0,0,0,0,5,2025-09-20,Healthcare,Enterprise,EMEA,Medium
C00000043-5d7ebf,control,0,0,0,0,0,2,2025-09-24,Healthcare,Mid-Market,EMEA,Medium
C00000044-27e21c,control,0,0,0,0,0,4,2025-09-26,Manufacturing,Enterprise,EMEA,Low
C00000045-710930,control,1,0,0,0,0,4,2025-10-10,Finance,SMB,North America,Low
C00000046-6099ad,control,0,1,0,0,0,0,2025-10-06,Technology,Enterprise,North America,Medium
C00000047-edc173,control,0,0,0,0,0,5,2025-09-27,Healthcare,Enterprise,North America,Low
C00000048-e468b5,control,0,0,0,0,0,0,2025-09-29,Retail,Enterprise,North America,Medium
C00000049-2e43f3,control,0,0,0,0,0,3,2025-10-02,Finance,SMB,EMEA,Medium
C00000050-251cc7,control,0,0,0,0,0,2,2025-09-17,Healthcare,Mid-Market,North America,Medium
C00000051-c23217,control,0,1,0,0,0,1,2025-10-07,Healthcare,Enterprise,North America,Low
C00000052-6edbf0,control,0,0,0,0,0,4,2025-09-26,Retail,SMB,APAC,High
C00000053-9ba591,control,1,0,0,0,0,5,2025-09-20,Retail,Mid-Market,EMEA,Medium
C00000054-d31be4,control,1,0,0,0,0,0,2025-09-22,Finance,Enterprise,North America,Medium
C00000055-936c23,control,0,0,0,0,0,0,2025-10-06,Manufacturing,Enterprise,LATAM,Medium
C00000056-ffd092,control,1,0,0,0,0,6,2025-10-05,Technology,Enterprise,North America,Low
C00000057-af7d69,control,0,0,0,0,0,5,2025-09-20,Technology,Mid-Market,APAC,High
C00000058-5f2679,control,0,0,0,0,0,5,2025-09-27,Technology,Mid-Market,EMEA,Medium
C00000059-c8c354,control,0,0,0,0,0,0,2025-09-29,Healthcare,SMB,North America,Medium
C00000060-5deadc,control,0,0,0,0,0,6,2025-10-12,Healthcare,SMB,APAC,Medium
C00000061-76479f,control,1,0,0,0,0,5,2025-10-11,Technology,Mid-Market,APAC,Low
C00000062-8f987b,control,0,0,0,0,0,3,2025-09-25,Technology,Mid-Market,North America,Medium
C00000063-d7f9bb,control,0,0,0,0,0,2,2025-10-08,Healthcare,Enterprise,North America,Medium
C00000064-c36d2e,control,0,0,0,0,0,3,2025-10-02,Technology,Enterprise,LATAM,Medium
C00000065-157583,control,0,0,0,0,0,0,2025-10-13,Healthcare,SMB,APAC,Medium
C00000066-fefb0b,control,0,0,0,0,0,2,2025-09-17,Technology,Mid-Market,EMEA,Medium
C00000067-ff7adf,control,0,0,0,0,0,0,2025-09-29,Manufacturing,SMB,North America,Low
C00000068-3c5dcb,control,1,0,0,0,0,5,2025-10-04,Technology,SMB,North America,Medium
C00000069-ed0801,control,0,0,0,0,0,6,2025-10-12,Technology,Mid-Market,LATAM,Medium
C00000070-37e722,control,0,0,0,0,0,1,2025-10-14,Healthcare,Enterprise,EMEA,Medium
C00000071-38fb47,control,0,0,0,0,0,3,2025-10-09,Technology,Mid-Market,LATAM,Low
C00000072-cdf488,control,1,0,0,0,0,2,2025-09-17,Finance,SMB,North America,Medium
C00000073-551b94,control,0,0,0,0,0,1,2025-09-16,Technology,SMB,North America,Medium
C00000074-de5ac3,control,0,0,0,0,0,1,2025-09-23,Finance,Enterprise,North America,Medium
C00000075-144f7b,control,1,0,0,0,0,0,2025-09-22,Manufacturing,SMB,LATAM,Low
C00000076-3df25c,control,1,0,0,0,0,6,2025-10-05,Finance,SMB,EMEA,Medium
C00000077-2e132a,control,0,0,0,0,0,2,2025-10-08,Healthcare,SMB,APAC,High
C00000078-466b2b,control,0,0,0,0,0,2,2025-09-17,Healthcare,Mid-Market,North America,Medium
C00000079-821222,control,0,0,0,0,0,0,2025-09-22,Healthcare,Mid-Market,North America,Medium
C00000080-932349,control,0,0,0,0,0,6,2025-10-05,Technology,Enterprise,North America,Low
C00000081-c83115,control,0,0,0,0,0,5,2025-09-27,Healthcare,SMB,LATAM,Medium
C00000082-3046fc,control,0,0,0,0,0,1,2025-09-16,Technology,Enterprise,North America,Low
C00000083-b4567c,control,0,0,0,0,0,2,2025-10-08,Retail,SMB,North America,Medium
C00000084-fde3c7,control,1,0,0,0,0,5,2025-10-11,Finance,Enterprise,North America,Medium
C00000085-73da72,control,0,0,0,0,0,1,2025-10-07,Technology,Mid-Market,North America,Medium
C00000086-a92099,control,0,0,0,0,0,1,2025-09-30,Retail,SMB,EMEA,Medium
C00000087-143c6d,control,0,0,0,0,0,0,2025-10-06,Finance,Mid-Market,North America,Medium
C00000088-4b8bbb,control,0,0,0,0,0,0,2025-10-13,Technology,Enterprise,North America,Low
C00000089-4399ea,control,0,0,0,0,0,0,2025-09-29,Finance,Mid-Market,EMEA,Low
C00000090-b9d471,control,0,0,0,0,0,2,2025-10-01,Retail,Enterprise,EMEA,Medium
C00000091-43dfca,control,0,0,0,0,0,6,2025-10-12,Healthcare,Mid-Market,APAC,Medium
C00000092-873523,control,0,0,0,0,0,4,2025-09-26,Healthcare,Enterprise,North America,Medium
C00000093-b2af86,control,0,0,0,0,0,5,2025-10-11,Healthcare,SMB,North America,Medium
C00000094-8f9069,control,0,0,0,0,0,0,2025-10-13,Healthcare,Enterprise,EMEA,Medium
C00000095-fbedf8,control,0,0,0,0,0,3,2025-10-09,Finance,Enterprise,North America,Low
C00000096-444230,control,0,0,0,0,0,6,2025-10-05,Technology,SMB,North America,Medium
C00000097-84338d,control,0,0,0,0,0,6,2025-10-12,Technology,SMB,APAC,Low
C00000098-bd0caa,control,0,0,0,0,0,4,2025-10-03,Technology,Mid-Market,North America,Medium
C00000099-70fe1e,control,0,0,0,0,0,3,2025-09-18,Technology,SMB,North America,Low
C00000100-420a74,control,1,0,0,0,0,4,2025-09-26,Retail,Mid-Market,North America,High
C00000101-fbd022,control,0,0,0,0,0,1,2025-09-30,Retail,Enterprise,North America,High
C00000102-b56fa8,control,0,0,0,0,0,3,2025-09-18,Healthcare,SMB,North America,Low
C00000103-362e51,control,0,0,0,0,0,0,2025-09-15,Healthcare,Mid-Market,LATAM,High
C00000104-b84309,control,1,0,0,0,0,6,2025-10-12,Retail,SMB,North America,High
C00000105-acaab5,control,0,0,0,0,0,2,2025-09-24,Technology,Enterprise,EMEA,Medium
C00000106-b24efa,control,0,0,0,0,0,6,2025-10-05,Technology,SMB,LATAM,Medium
C00000107-1621f1,control,0,0,0,0,0,6,2025-09-21,Retail,Enterprise,North America,Low
C00000108-a605a6,control,0,0,0,0,0,1,2025-09-30,Finance,SMB,EMEA,Low
C00000109-c88371,control,1,0,0,0,0,4,2025-09-26,Technology,Mid-Market,EMEA,Medium
C00000110-1aaa71,control,1,0,0,0,0,4,2025-10-10,Technology,Mid-Market,LATAM,Low
C00000111-7b95ee,control,0,0,0,0,0,3,2025-10-02,Healthcare,Mid-Market,North America,Low
C00000112-4f59f4,control,0,0,0,0,0,2,2025-10-08,Healthcare,Enterprise,North America,High
C00000113-accd33,control,0,0,0,0,0,6,2025-09-21,Finance,SMB,APAC,Low
C00000114-133e45,control,0,0,0,0,0,3,2025-10-09,Healthcare,SMB,North America,Medium
C00000115-769b8f,control,0,0,0,0,0,5,2025-09-27,Manufacturing,SMB,LATAM,Medium
C00000116-d98624,control,0,1,0,0,0,5,2025-10-04,Finance,Enterprise,EMEA,Low
C00000117-db353f,control,1,0,0,0,0,5,2025-10-04,Finance,Mid-Market,EMEA,Low
C00000118-9ccdaa,control,1,0,0,0,0,6,2025-09-28,Retail,Mid-Market,North America,Medium
C00000119-232990,control,0,0,0,0,0,2,2025-09-24,Finance,SMB,EMEA,Medium
C00000120-376914,control,0,0,0,0,0,2,2025-10-01,Technology,SMB,North America,Medium
C00000121-a568ac,control,1,0,0,0,0,3,2025-10-02,Finance,SMB,North America,Medium
C00000122-5781d5,control,0,0,0,0,0,0,2025-09-29,Finance,Mid-Market,North America,High
C00000123-281091,control,0,0,0,0,0,0,2025-09-15,Technology,SMB,APAC,Low
C00000124-619d4d,control,0,0,0,0,0,2,2025-09-17,Finance,SMB,North America,Medium
C00000125-5fcc8f,control,1,0,0,0,0,5,2025-10-11,Technology,SMB,EMEA,Medium
C00000126-a64f75,control,0,0,0,0,0,4,2025-10-10,Healthcare,Mid-Market,North America,Low
C00000127-da083b,control,0,0,0,0,0,0,2025-10-13,Finance,SMB,LATAM,Medium
C00000128-329694,control,0,0,0,0,0,4,2025-10-03,Retail,SMB,North America,High
C00000129-ca33ca,control,0,0,0,0,0,5,2025-10-04,Technology,Mid-Market,APAC,Low
C00000130-1ba792,control,1,0,0,0,0,3,2025-10-09,Retail,Mid-Market,EMEA,Medium
C00000131-eb1958,control,1,0,0,0,0,0,2025-10-13,Technology,SMB,APAC,Low
C00000132-1927d2,control,0,0,0,0,0,2,2025-10-01,Finance,Enterprise,EMEA,Medium
C00000133-d58601,control,0,0,0,0,0,3,2025-10-09,Retail,Mid-Market,North America,Medium
C00000134-a1a50d,control,0,0,0,0,0,3,2025-09-25,Retail,SMB,LATAM,Low
C00000135-593f13,control,1,0,0,0,0,0,2025-10-13,Manufacturing,Enterprise,North America,Medium
C00000136-26ac60,control,0,0,0,0,0,3,2025-09-25,Finance,Enterprise,North America,Low
C00000137-81961c,control,0,0,0,0,0,1,2025-09-23,Technology,SMB,LATAM,High
C00000138-10aed2,control,0,0,0,0,0,1,2025-09-16,Manufacturing,Enterprise,North America,High
C00000139-37b1ba,control,0,0,0,0,0,3,2025-09-18,Finance,Enterprise,LATAM,Medium
C00000140-1bd302,control,0,0,0,0,0,5,2025-09-20,Retail,Enterprise,EMEA,Low
C00000141-5e0c2b,control,0,0,0,0,0,6,2025-09-28,Manufacturing,Mid-Market,APAC,Medium
C00000142-28a55e,control,1,0,0,0,0,0,2025-10-13,Retail,SMB,APAC,Low
C00000143-143fd4,control,0,0,0,0,0,2,2025-09-24,Retail,SMB,APAC,Medium
C00000144-bef65a,control,0,0,0,0,0,2,2025-09-24,Technology,SMB,North America,Low
C00000145-b1bd18,control,1,0,0,0,0,4,2025-09-26,Healthcare,SMB,LATAM,Low
C00000146-182e96,control,0,0,0,0,0,5,2025-10-11,Finance,SMB,EMEA,Medium
C00000147-6e9f75,control,0,0,0,0,0,0,2025-10-06,Finance,Mid-Market,North America,Medium
C00000148-c5006a,control,0,0,0,0,0,1,2025-09-30,Finance,Mid-Market,EMEA,Medium
C00000149-96f60a,control,0,0,0,0,0,2,2025-10-08,Retail,SMB,LATAM,Low
C00000150-84e8c4,control,1,0,0,0,0,4,2025-10-10,Technology,SMB,North America,Medium
C00000151-ff4403,control,0,0,0,0,0,6,2025-10-12,Healthcare,SMB,LATAM,Medium
C00000152-9de267,control,1,0,0,0,0,3,2025-09-18,Healthcare,SMB,North America,Low
C00000153-f882f4,control,0,0,0,0,0,0,2025-09-15,Healthcare,SMB,North America,Medium
C00000154-862194,control,0,0,0,0,0,2,2025-09-17,Manufacturing,SMB,EMEA,High
C00000155-df804a,control,0,0,0,0,0,5,2025-10-04,Technology,Enterprise,North America,Medium
C00000156-947fa3,control,0,0,0,0,0,4,2025-10-10,Retail,Enterprise,APAC,Low
C00000157-667076,control,1,0,0,0,0,2,2025-09-17,Finance,Enterprise,North America,High
C00000158-4564e2,control,0,0,0,0,0,5,2025-09-27,Technology,Enterprise,North America,Medium
C00000159-a9698d,control,0,0,0,0,0,3,2025-09-25,Healthcare,SMB,North America,Low
C00000160-309021,control,0,0,0,0,0,1,2025-10-07,Technology,SMB,North America,High
C00000161-53b2f1,control,0,0,0,0,0,1,2025-09-23,Technology,SMB,APAC,High
C00000162-49f62f,control,0,0,0,0,0,3,2025-09-25,Finance,SMB,EMEA,Medium
C00000163-3af85c,control,1,0,0,0,0,2,2025-09-17,Technology,SMB,North America,Medium
C00000164-8d12c9,control,1,0,0,0,0,1,2025-09-30,Retail,Enterprise,EMEA,Low
C00000165-a8b3e4,control,0,0,0,0,0,5,2025-09-27,Technology,Mid-Market,APAC,High
C00000166-2547f5,control,0,0,0,0,0,4,2025-10-03,Finance,SMB,North America,Low
C00000167-1d3c7e,control,1,0,0,0,0,3,2025-10-09,Healthcare,Mid-Market,EMEA,Low
C00000168-a5aac9,control,0,0,0,0,0,3,2025-10-02,Retail,SMB,EMEA,Medium
C00000169-4946a6,control,0,0,0,0,0,6,2025-10-12,Technology,Enterprise,APAC,Low
C00000170-5f99c8,control,1,0,0,0,0,0,2025-09-29,Technology,Enterprise,North America,High
C00000171-fc89b4,control,0,0,0,0,0,0,2025-10-13,Retail,Enterprise,LATAM,Medium
C00000172-14952e,control,0,0,0,0,0,6,2025-10-05,Retail,SMB,North America,Low
C00000173-aa7bb8,control,0,0,0,0,0,5,2025-09-27,Healthcare,Enterprise,LATAM,High
C00000174-12b30c,control,0,0,0,0,0,2,2025-10-01,Technology,SMB,North America,Medium
C00000175-d11880,control,0,0,0,0,0,3,2025-10-02,Healthcare,SMB,North America,Low
C00000176-7d3996,control,0,0,0,0,0,5,2025-10-11,Technology,Mid-Market,LATAM,Medium
C00000177-9d47eb,control,0,0,0,0,0,5,2025-09-20,Technology,Mid-Market,EMEA,High
C00000178-7cd8c0,control,0,0,0,0,0,0,2025-09-22,Technology,SMB,EMEA,High
C00000179-1ce6c1,control,0,0,0,0,0,6,2025-10-05,Healthcare,SMB,North America,Medium
C00000180-23f5ac,control,1,0,0,0,0,1,2025-09-16,Healthcare,Enterprise,LATAM,High
C00000181-9a8ad0,control,0,0,0,0,0,3,2025-10-02,Retail,SMB,North America,High
C00000182-70e5c8,control,0,0,0,0,0,6,2025-09-21,Technology,Mid-Market,North America,Medium
C00000183-bd2bd6,control,1,0,0,0,0,4,2025-09-26,Healthcare,Enterprise,APAC,Low
C00000184-174fc2,control,0,0,0,0,0,1,2025-10-14,Technology,SMB,North America,Low
C00000185-c6f0ec,control,0,0,0,0,0,1,2025-10-14,Finance,Mid-Market,APAC,Medium
C00000186-719e78,control,0,0,0,0,0,3,2025-09-18,Finance,SMB,North America,Medium
C00000187-2d8c45,control,0,0,0,0,0,0,2025-10-06,Technology,SMB,APAC,Low
C00000188-51addb,control,0,0,0,0,0,1,2025-09-23,Technology,Enterprise,EMEA,Medium
C00000189-b323e7,control,0,0,0,0,0,3,2025-09-25,Healthcare,SMB,North America,Medium
C00000190-2055fe,control,0,0,0,0,0,3,2025-09-18,Finance,Mid-Market,APAC,Medium
C00000191-bb61a5,control,0,0,0,0,0,6,2025-10-12,Technology,SMB,North America,Medium
C00000192-bf3969,control,0,0,0,0,0,6,2025-10-12,Healthcare,Mid-Market,North America,Low
C00000193-fb7e91,control,1,0,0,0,0,3,2025-10-09,Retail,Enterprise,North America,Medium
C00000194-c9e9f0,control,0,0,0,0,0,6,2025-10-12,Manufacturing,Mid-Market,North America,Medium
C00000195-1e67a0,control,0,0,0,0,0,1,2025-10-07,Healthcare,Enterprise,North America,Medium
C00000196-501836,control,0,0,0,0,0,1,2025-10-14,Healthcare,Enterprise,North America,Medium
C00000197-337307,control,0,0,0,0,0,4,2025-10-03,Retail,Enterprise,EMEA,Low
C00000198-99379b,control,0,0,0,0,0,2,2025-10-01,Finance,Mid-Market,EMEA,Medium
C00000199-890401,control,0,0,0,0,0,4,2025-10-10,Manufacturing,SMB,APAC,Medium
C00000200-df9e05,control,0,0,0,0,0,6,2025-10-12,Technology,Mid-Market,EMEA,High
C00000201-cca522,control,1,0,0,0,0,4,2025-10-10,Retail,Enterprise,North America,Medium
C00000202-542590,control,0,0,0,0,0,1,2025-10-14,Technology,SMB,EMEA,Medium
C00000203-c00097,control,0,0,0,0,0,6,2025-09-28,Finance,Mid-Market,EMEA,High
C00000204-c006dd,control,1,0,0,0,0,0,2025-10-13,Technology,SMB,EMEA,Low
C00000205-77cca9,control,1,0,0,0,0,4,2025-10-10,Finance,Enterprise,EMEA,Low
