account_id,variant,mql_conversion_rate,engagement_score_delta,cost_per_mql,unsubscribe_rate,industry,company_size,region,engagement_tier
CH00000000-ab9171,email_only,0,3.04,113.81,0,Technology,Mid-Market,North America,Medium
CH00000001-c2127f,email_only,0,8.73,149.53,0,Retail,Mid-Market,North America,Low
CH00000002-9d0b33,email_only,0,1.67,176.44,0,Healthcare,Mid-Market,APAC,High
CH00000003-ddf980,email_only,0,0.61,115.27,0,Finance,SMB,EMEA,Medium
CH00000004-b7d2e3,email_only,0,0.8,208.88,0,Finance,Enterprise,North America,Medium
CH00000005-9a6890,email_only,0,5.75,152.26,0,Finance,Mid-Market,EMEA,Medium
CH00000006-b8f1e4,email_only,0,8.02,182.64,0,Technology,SMB,LATAM,Medium
CH00000007-c475e2,email_only,0,0.53,90.5,0,Retail,Enterprise,North America,Medium
CH00000008-c23200,email_only,0,3.63,185.63,0,Healthcare,SMB,EMEA,Low
CH00000009-5d64b6,email_only,0,0.02,156.96,0,Retail,Enterprise,North America,Medium
CH00000010-32b231,email_only,0,-1.86,147.77,0,Technology,Mid-Market,North America,High
CH00000011-747558,email_only,0,-7.28,88.84,0,Healthcare,SMB,North America,High
CH00000012-51afa8,email_only,0,7.41,113.22,0,Finance,SMB,APAC,High
CH00000013-f17970,email_only,0,3.33,109.86,0,Technology,SMB,North America,Low
CH00000014-b39832,email_only,0,-3.59,106.32,0,Retail,SMB,North America,High
CH00000015-ee7a7a,email_only,0,-5.45,135.67,0,Finance,SMB,LATAM,Medium
CH00000016-e96dd4,email_only,0,-3.95,163.92,0,Healthcare,SMB,North America,Medium
CH00000017-d919a7,email_only,0,-6.52,184.5,0,Finance,Enterprise,North America,High
CH00000018-6b444c,email_only,0,-1.11,147.72,0,Finance,SMB,North America,Medium
CH00000019-97887d,email_only,0,-0.38,82.96,0,Technology,Mid-Market,North America,Medium
CH00000020-a5db65,email_only,0,7.96,99.75,0,Retail,SMB,North America,Medium
CH00000021-878edf,email_only,0,0.72,95.68,0,Retail,Enterprise,North America,High
CH00000022-d60f6f,email_only,0,0.93,103.71,0,Retail,SMB,North America,Low
CH00000023-a32c27,email_only,0,3.85,126.29,0,Technology,Enterprise,North America,Low
CH00000024-524fdd,email_only,0,-1.07,139.07,0,Technology,Enterprise,EMEA,Medium
CH00000025-7d9aca,email_only,0,0.49,104.35,0,Technology,Enterprise,North America,Low
CH00000026-9f34d4,email_only,0,10.37,79.69,0,Retail,Enterprise,APAC,Medium
CH00000027-e083b5,email_only,0,-6.77,115.09,0,Technology,Enterprise,APAC,Medium
CH00000028-bf1904,email_only,0,5.61,131.65,0,Technology,Mid-Market,North America,Medium
CH00000029-6923a6,email_only,0,0.43,155.13,0,Retail,SMB,North America,High
CH00000030-74dd80,email_only,0,-2.18,87.43,0,Finance,SMB,LATAM,Medium
CH00000031-a35428,email_only,1,0.44,114.19,0,Retail,SMB,North America,Medium
CH00000032-a6e38f,email_only,0,-1.15,122.1,0,Manufacturing,Mid-Market,North America,Low
CH00000033-2fe912,email_only,0,-5.63,149.82,0,Retail,SMB,North America,Medium
CH00000034-e9767f,email_only,0,2.92,118.76,0,Technology,SMB,North America,Medium
CH00000035-7a13f2,email_only,0,-1.95,155.91,0,Technology,SMB,North America,Low
CH00000036-451eaa,email_only,0,-6.67,124.07,0,Technology,SMB,North America,High
CH00000037-dc5754,email_only,0,2.53,95.69,0,Retail,Enterprise,North America,High
CH00000038-15922c,email_only,0,1.32,152.07,0,Healthcare,Enterprise,North America,High
CH00000039-a018ad,email_only,0,-2.96,85.08,0,Healthcare,Enterprise,EMEA,High
CH00000040-31c05a,email_only,0,3.14,89.77,0,Finance,Mid-Market,APAC,Low
CH00000041-a3abae,email_only,0,-1.4,66.3,0,Technology,Enterprise,North America,Low
CH00000042-378c8d,email_only,0,6.28,116.61,0,Technology,SMB,EMEA,Medium
CH00000043-1a781a,email_only,0,0.24,112.93,0,Technology,SMB,EMEA,Medium
CH00000044-8528d3,email_only,0,-2.63,105.31,0,Retail,SMB,APAC,Low
CH00000045-3e3b95,email_only,0,-1.89,99.3,0,Technology,SMB,North America,Medium
CH00000046-2de038,email_only,0,-2.46,105.94,0,Technology,SMB,EMEA,Medium
CH00000047-b0fbcb,email_only,0,7.44,111.9,0,Manufacturing,SMB,North America,Medium
CH00000048-dbceca,email_only,0,-7.13,148.17,0,Retail,Mid-Market,North America,Medium
CH00000049-c14a24,email_only,0,0.07,177.09,0,Manufacturing,Mid-Market,APAC,High
CH00000050-5148df,email_only,0,-7.01,167.09,0,Finance,Mid-Market,North America,Medium
CH00000051-88fd7a,email_only,0,7.28,98.97,0,Finance,Mid-Market,EMEA,Low
CH00000052-a8d3a8,email_only,0,7.83,105.34,0,Healthcare,Mid-Market,EMEA,Medium
CH00000053-30e50b,email_only,0,2.24,62.36,0,Healthcare,SMB,North America,High
CH00000054-c5a8ce,email_only,0,-2.43,126.12,0,Healthcare,Mid-Market,North America,Low
CH00000055-f8f371,email_only,0,2.67,169.18,0,Finance,Mid-Market,North America,High
CH00000056-c4a67b,email_only,0,2.37,101.46,0,Retail,SMB,APAC,High
CH00000057-23f6e8,email_only,0,5.64,120.0,0,Technology,SMB,EMEA,Low
