contact_id,send_time_group,open_rate,click_rate,unsubscribe_rate,industry,company_size,region,engagement_tier
ST00000000-831a9b,morning,0,0,0,Healthcare,Mid-Market,North America,Medium
ST00000001-277f4d,morning,0,0,0,Finance,SMB,North America,Low
ST00000002-e9d351,morning,0,0,0,Finance,Mid-Market,LATAM,Medium
ST00000003-2e9b15,morning,0,0,0,Healthcare,Enterprise,LATAM,High
ST00000004-edf826,morning,0,0,0,Retail,Mid-Market,APAC,High
ST00000005-422728,morning,0,0,0,Technology,Mid-Market,North America,High
ST00000006-1ddd1e,morning,0,0,0,Technology,SMB,APAC,Low
ST00000007-3e96b8,morning,0,0,0,Healthcare,SMB,EMEA,High
ST00000008-59f7b8,morning,0,0,0,Retail,Mid-Market,North America,Medium
ST00000009-fc5ac8,morning,0,0,0,Finance,Mid-Market,North America,Medium
ST00000010-1a4ef7,morning,0,1,0,Retail,SMB,North America,Low
ST00000011-d45c60,morning,0,0,0,Retail,Enterprise,North America,Low
ST00000012-9f4775,morning,1,0,0,Retail,Mid-Market,EMEA,Medium
ST00000013-620b78,morning,0,0,0,Technology,SMB,APAC,High
ST00000014-982082,morning,0,0,0,Finance,Mid-Market,North America,Medium
ST00000015-197a48,morning,0,1,0,Manufacturing,SMB,APAC,Low
ST00000016-8acc2c,morning,1,0,0,Finance,Enterprise,North America,Medium
ST00000017-f0baec,morning,1,1,0,Finance,Mid-Market,EMEA,High
ST00000018-d17140,morning,0,0,0,Healthcare,Enterprise,North America,Medium
ST00000019-3d662f,morning,0,0,0,Finance,Mid-Market,EMEA,Low
ST00000020-247153,morning,0,0,0,Technology,Mid-Market,APAC,Medium
ST00000021-b44c3f,morning,1,0,0,Technology,Enterprise,North America,Low
ST00000022-d0f053,morning,0,0,0,Retail,SMB,North America,Low
ST00000023-b2e6fb,morning,0,0,0,Technology,Mid-Market,LATAM,Low
ST00000024-564cf2,morning,0,0,0,Technology,Enterprise,North America,Low
ST00000025-a5c9e3,morning,1,0,0,Healthcare,Mid-Market,EMEA,Medium
ST00000026-d8b867,morning,0,0,0,Finance,SMB,North America,Low
ST00000027-c7f0d1,morning,1,0,0,Technology,Enterprise,APAC,Low
